="rta",="-0.5451***",="-0.0386",="-1.2313***",="0.0435*"
="",="(0.0774)",="(0.0286)",="(0.0379)",="(0.0204)"
="lndist",="-0.9699***",="",="-1.2675***",=""
="",="(0.0444)",="",="(0.0130)",=""
="contig",="0.1712",="",="-0.6125***",=""
="",="(0.1389)",="",="(0.0652)",=""
="comlang_off",="-0.2082*",="",="-0.1144",=""
="",="(0.0976)",="",="(0.0712)",=""
="colony",="-0.1144",="",="-0.7588***",=""
="",="(0.1148)",="",="(0.0979)",=""
="_cons",="10.9473***",="2.5372***",="",=""
="",="(0.3967)",="(0.0118)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.8353***",="-0.0276",="-2.2836***",="0.1454***"
="",="(0.0974)",="(0.0353)",="(0.0720)",="(0.0222)"
="lndist",="-1.1314***",="",="-1.6358***",=""
="",="(0.0500)",="",="(0.0231)",=""
="contig",="0.1539",="",="-1.0669***",=""
="",="(0.1442)",="",="(0.1194)",=""
="comlang_off",="-0.2569*",="",="-0.8894***",=""
="",="(0.1197)",="",="(0.1264)",=""
="colony",="-0.0091",="",="-0.3181*",=""
="",="(0.1301)",="",="(0.1327)",=""
="_cons",="11.9353***",="2.0907***",="",=""
="",="(0.4475)",="(0.0151)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.3962***",="-0.0375",="-1.0405***",="-0.1120***"
="",="(0.0741)",="(0.0383)",="(0.0524)",="(0.0191)"
="lndist",="-0.9972***",="",="-1.2948***",=""
="",="(0.0422)",="",="(0.0134)",=""
="contig",="0.3834*",="",="-0.5093***",=""
="",="(0.1516)",="",="(0.0763)",=""
="comlang_off",="-0.3094**",="",="-0.6802***",=""
="",="(0.1040)",="",="(0.0870)",=""
="colony",="-0.0146",="",="-0.7473***",=""
="",="(0.1228)",="",="(0.0662)",=""
="_cons",="11.5654***",="3.0129***",="",=""
="",="(0.3783)",="(0.0160)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.7059***",="-0.0546",="-1.5405***",="0.1056***"
="",="(0.0838)",="(0.0305)",="(0.0380)",="(0.0159)"
="lndist",="-1.0536***",="",="-1.5035***",=""
="",="(0.0473)",="",="(0.0127)",=""
="contig",="0.1793",="",="-0.8409***",=""
="",="(0.1377)",="",="(0.0778)",=""
="comlang_off",="-0.1854",="",="-0.3112***",=""
="",="(0.1036)",="",="(0.0881)",=""
="colony",="-0.0787",="",="-0.6470***",=""
="",="(0.1219)",="",="(0.1021)",=""
="_cons",="11.6502***",="2.4902***",="",=""
="",="(0.4246)",="(0.0127)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.5466***",="0.0126",="-0.9578***",="0.0012"
="",="(0.0680)",="(0.0270)",="(0.0347)",="(0.0162)"
="lndist",="-0.8149***",="",="-1.0344***",=""
="",="(0.0386)",="",="(0.0117)",=""
="contig",="0.0409",="",="-0.5921***",=""
="",="(0.1203)",="",="(0.0697)",=""
="comlang_off",="-0.1686*",="",="0.0912",=""
="",="(0.0859)",="",="(0.0723)",=""
="colony",="-0.0086",="",="-0.5375***",=""
="",="(0.0987)",="",="(0.0663)",=""
="_cons",="9.9575***",="2.8308***",="",=""
="",="(0.3470)",="(0.0110)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.3711***",="-0.0212",="-0.3743***",="0.1183***"
="",="(0.0707)",="(0.0379)",="(0.0448)",="(0.0135)"
="lndist",="-0.7093***",="",="-0.7293***",=""
="",="(0.0400)",="",="(0.0120)",=""
="contig",="-0.0891",="",="-0.5052***",=""
="",="(0.1153)",="",="(0.0800)",=""
="comlang_off",="-0.1436",="",="-0.0775",=""
="",="(0.0822)",="",="(0.0553)",=""
="colony",="-0.0924",="",="-0.5588***",=""
="",="(0.0951)",="",="(0.0631)",=""
="_cons",="9.4131***",="3.2612***",="",=""
="",="(0.3586)",="(0.0154)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.4496***",="0.0313",="-1.0323***",="0.2808***"
="",="(0.0738)",="(0.0325)",="(0.0465)",="(0.0185)"
="lndist",="-0.8146***",="",="-0.9644***",=""
="",="(0.0423)",="",="(0.0136)",=""
="contig",="0.0434",="",="-0.3824***",=""
="",="(0.1258)",="",="(0.0952)",=""
="comlang_off",="-0.2512**",="",="-0.2047*",=""
="",="(0.0912)",="",="(0.0901)",=""
="colony",="-0.0807",="",="-0.7984***",=""
="",="(0.1063)",="",="(0.0753)",=""
="_cons",="9.6650***",="2.5778***",="",=""
="",="(0.3795)",="(0.0133)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.5339***",="-0.0448",="-1.0690***",="0.0843***"
="",="(0.0794)",="(0.0392)",="(0.0627)",="(0.0228)"
="lndist",="-0.8045***",="",="-0.9785***",=""
="",="(0.0432)",="",="(0.0130)",=""
="contig",="-0.1361",="",="-0.5692***",=""
="",="(0.1395)",="",="(0.0803)",=""
="comlang_off",="-0.0849",="",="0.2224**",=""
="",="(0.1128)",="",="(0.0777)",=""
="colony",="-0.1543",="",="-0.5942***",=""
="",="(0.1275)",="",="(0.1109)",=""
="_cons",="10.1127***",="3.1197***",="",=""
="",="(0.3852)",="(0.0162)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
