="",="(0.0697)",="(0.0285)",="(0.0759)",="(0.0151)"
="lndist",="-0.3857***",="",="-0.5355***",=""
="",="(0.0433)",="",="(0.0327)",=""
="contig",="0.8890***",="",="0.3048***",=""
="",="(0.1322)",="",="(0.0664)",=""
="comlang_off",="-0.0143",="",="0.0740",=""
="",="(0.0870)",="",="(0.0625)",=""
="colony",="-0.0310",="",="-0.0260",=""
="",="(0.1069)",="",="(0.0962)",=""
="_cons",="5.6431***",="2.6377***",="",=""
="",="(0.3851)",="(0.0115)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1830*",="-0.0249",="-0.8163***",="0.1355***"
="",="(0.0913)",="(0.0342)",="(0.1527)",="(0.0162)"
="lndist",="-0.3821***",="",="-0.5940***",=""
="",="(0.0533)",="",="(0.0721)",=""
="contig",="1.0482***",="",="0.0573",=""
="",="(0.1359)",="",="(0.1273)",=""
="comlang_off",="-0.0214",="",="-0.9983***",=""
="",="(0.1063)",="",="(0.1361)",=""
="colony",="0.1023",="",="0.6345***",=""
="",="(0.1213)",="",="(0.1619)",=""
="_cons",="5.1370***",="2.2353***",="",=""
="",="(0.4772)",="(0.0143)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2897***",="-0.0142",="-0.0143",="0.0514**"
="",="(0.0678)",="(0.0378)",="(0.0721)",="(0.0167)"
="lndist",="-0.4630***",="",="-0.6205***",=""
="",="(0.0442)",="",="(0.0304)",=""
="contig",="1.0426***",="",="0.4884***",=""
="",="(0.1489)",="",="(0.0688)",=""
="comlang_off",="-0.1373",="",="-0.3866***",=""
="",="(0.0968)",="",="(0.0934)",=""
="colony",="0.0569",="",="0.1556",=""
="",="(0.1165)",="",="(0.0891)",=""
="_cons",="6.7103***",="3.1035***",="",=""
="",="(0.3940)",="(0.0154)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1659*",="-0.0533",="0.0736",="0.1726***"
="",="(0.0749)",="(0.0302)",="(0.0808)",="(0.0127)"
="lndist",="-0.3900***",="",="-0.5277***",=""
="",="(0.0457)",="",="(0.0358)",=""
="contig",="0.9856***",="",="0.2429***",=""
="",="(0.1303)",="",="(0.0685)",=""
="comlang_off",="0.0233",="",="-0.0104",=""
="",="(0.0903)",="",="(0.0779)",=""
="colony",="0.0226",="",="0.2550**",=""
="",="(0.1113)",="",="(0.0931)",=""
="_cons",="5.6264***",="2.6084***",="",=""
="",="(0.4083)",="(0.0123)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1294*",="0.0229",="0.0984",="0.1568***"
="",="(0.0608)",="(0.0268)",="(0.0635)",="(0.0148)"
="lndist",="-0.3005***",="",="-0.4631***",=""
="",="(0.0385)",="",="(0.0299)",=""
="contig",="0.6765***",="",="0.0585",=""
="",="(0.1144)",="",="(0.0720)",=""
="comlang_off",="-0.0150",="",="0.0550",=""
="",="(0.0765)",="",="(0.0701)",=""
="colony",="0.0663",="",="0.1339*",=""
="",="(0.0898)",="",="(0.0666)",=""
="_cons",="5.2872***",="2.9113***",="",=""
="",="(0.3427)",="(0.0107)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2742***",="-0.0075",="0.2639***",="0.1798***"
="",="(0.0622)",="(0.0386)",="(0.0445)",="(0.0148)"
="lndist",="-0.2124***",="",="-0.2371***",=""
="",="(0.0377)",="",="(0.0227)",=""
="contig",="0.5200***",="",="-0.0205",=""
="",="(0.1113)",="",="(0.0685)",=""
="comlang_off",="0.0090",="",="0.0533",=""
="",="(0.0746)",="",="(0.0510)",=""
="colony",="-0.0111",="",="0.0036",=""
="",="(0.0957)",="",="(0.0486)",=""
="_cons",="4.9163***",="3.3275***",="",=""
="",="(0.3362)",="(0.0154)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2804***",="0.0470",="0.0355",="0.2754***"
="",="(0.0625)",="(0.0325)",="(0.0703)",="(0.0165)"
="lndist",="-0.2619***",="",="-0.3130***",=""
="",="(0.0404)",="",="(0.0309)",=""
="contig",="0.7118***",="",="0.3957***",=""
="",="(0.1229)",="",="(0.0847)",=""
="comlang_off",="-0.0829",="",="-0.2579**",=""
="",="(0.0836)",="",="(0.0803)",=""
="colony",="0.0096",="",="-0.0706",=""
="",="(0.1021)",="",="(0.0750)",=""
="_cons",="4.6491***",="2.6627***",="",=""
="",="(0.3589)",="(0.0130)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2088**",="-0.0329",="-0.4319***",="0.1420***"
="",="(0.0790)",="(0.0391)",="(0.1209)",="(0.0194)"
="lndist",="-0.2212***",="",="-0.4649***",=""
="",="(0.0456)",="",="(0.0529)",=""
="contig",="0.5912***",="",="0.0576",=""
="",="(0.1329)",="",="(0.1135)",=""
="comlang_off",="0.1016",="",="0.1972*",=""
="",="(0.1035)",="",="(0.0844)",=""
="colony",="-0.0903",="",="-0.2060",=""
="",="(0.1154)",="",="(0.1207)",=""
="_cons",="4.8366***",="3.2028***",="",=""
="",="(0.4065)",="(0.0158)",="",=""
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.0816",="-0.0332",="-0.4806***",="0.1074***"
="",="(0.0805)",="(0.0332)",="(0.1326)",="(0.0173)"
="lndist",="-0.2237***",="",="-0.3715***",=""
="",="(0.0477)",="",="(0.0615)",=""
="contig",="0.6381***",="",="-0.5473***",=""
="",="(0.1258)",="",="(0.1216)",=""
="comlang_off",="0.0207",="",="0.2868**",=""
="",="(0.1062)",="",="(0.1055)",=""
="colony",="0.0691",="",="0.3789*",=""
="",="(0.1101)",="",="(0.1874)",=""
="_cons",="4.1319***",="2.4618***",="",=""
="",="(0.4266)",="(0.0135)",="",=""
