="_cons",="4.9163***",="3.3275***"
="",="(0.3362)",="(0.0154)"
="",="b/se",="b/se"
="rta",="0.2804***",="0.0470"
="",="(0.0625)",="(0.0325)"
="lndist",="-0.2619***",=""
="",="(0.0404)",=""
="contig",="0.7118***",=""
="",="(0.1229)",=""
="comlang_off",="-0.0829",=""
="",="(0.0836)",=""
="colony",="0.0096",=""
="",="(0.1021)",=""
="_cons",="4.6491***",="2.6627***"
="",="(0.3589)",="(0.0130)"
="",="b/se",="b/se"
="rta",="0.2088**",="-0.0329"
="",="(0.0790)",="(0.0391)"
="lndist",="-0.2212***",=""
="",="(0.0456)",=""
="contig",="0.5912***",=""
="",="(0.1329)",=""
="comlang_off",="0.1016",=""
="",="(0.1035)",=""
="colony",="-0.0903",=""
="",="(0.1154)",=""
="_cons",="4.8366***",="3.2028***"
="",="(0.4065)",="(0.0158)"
="",="b/se",="b/se"
="rta",="0.0816",="-0.0332"
="",="(0.0805)",="(0.0332)"
="lndist",="-0.2237***",=""
="",="(0.0477)",=""
="contig",="0.6381***",=""
="",="(0.1258)",=""
="comlang_off",="0.0207",=""
="",="(0.1062)",=""
="colony",="0.0691",=""
="",="(0.1101)",=""
="_cons",="4.1319***",="2.4618***"
="",="(0.4266)",="(0.0135)"
