="colony",="-0.0924",=""
="",="(0.0951)",=""
="_cons",="9.4131***",="3.2612***"
="",="(0.3586)",="(0.0154)"
="",="b/se",="b/se"
="rta",="-0.4496***",="0.0313"
="",="(0.0738)",="(0.0325)"
="lndist",="-0.8146***",=""
="",="(0.0423)",=""
="contig",="0.0434",=""
="",="(0.1258)",=""
="comlang_off",="-0.2512**",=""
="",="(0.0912)",=""
="colony",="-0.0807",=""
="",="(0.1063)",=""
="_cons",="9.6650***",="2.5778***"
="",="(0.3795)",="(0.0133)"
="",="b/se",="b/se"
="rta",="-0.5339***",="-0.0448"
="",="(0.0794)",="(0.0392)"
="lndist",="-0.8045***",=""
="",="(0.0432)",=""
="contig",="-0.1361",=""
="",="(0.1395)",=""
="comlang_off",="-0.0849",=""
="",="(0.1128)",=""
="colony",="-0.1543",=""
="",="(0.1275)",=""
="_cons",="10.1127***",="3.1197***"
="",="(0.3852)",="(0.0162)"
="",="b/se",="b/se"
="rta",="-0.6491***",="-0.0356"
="",="(0.0826)",="(0.0331)"
="lndist",="-0.7913***",=""
="",="(0.0461)",=""
="contig",="-0.0501",=""
="",="(0.1306)",=""
="comlang_off",="-0.1730",=""
="",="(0.1148)",=""
="colony",="-0.0068",=""
="",="(0.1187)",=""
="_cons",="9.2732***",="2.3681***"
="",="(0.4113)",="(0.0138)"
